TransactionID,TerminalID,SiteID,TypeID,Type,CardDetails,Form,Network,Type,Value,Type,Code,Country,TXNStatus, , ,SiteID,TXNDate,TXNTime
1556,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:17:20
1557,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:17:27
1558,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:17:28
1559,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:17:29
1560,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:41:47
1561,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:41:53
1562,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:41:55
1563,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:41:56
1564,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:41:57
1565,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:41:58
1566,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:42:00
1567,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:42:01
1568,01234567,288442,,Voucher,5025743884910,Swiped,EE EV,EV,5.00,Voucher,826,GBR,Settled, , ,288442,29/06/2022,1:42:03
